marka,model,yakit,vites,yil,km,fiyat
1,1,1,1,1989,350000,13000
1,1,1,1,1990,190000,18000
1,1,2,1,1990,207000,30000
1,1,1,1,1990,216000,23500
1,1,1,1,1991,350000,13500
1,1,1,1,1994,195000,31000
1,1,1,2,2009,160000,65500
1,4,2,2,2009,105000,200000
1,4,2,2,2009,145000,200000
1,2,3,2,2010,173000,88000
1,1,1,2,2011,160000,92000
1,1,2,2,2011,173000,77000
1,2,3,2,2011,110000,125000
1,2,3,2,2011,250000,106000
1,2,3,2,2012,191000,140000
1,2,3,2,2012,107000,138000
1,2,3,2,2012,126000,160000
1,1,2,2,2013,73000,145000
1,1,2,2,2013,120000,127000
1,3,2,2,2013,75000,200000
1,1,2,2,2014,101000,147000
1,3,2,2,2014,125000,200000
1,3,2,2,2014,18000,204000
1,3,2,2,2014,87000,200000
1,3,2,2,2014,102000,200000
1,3,2,2,2015,104000,200000
2,1,2,1,1994,166000,11000
2,1,3,1,1999,350000,16500
2,1,3,1,2000,220000,16500
2,1,3,1,2002,140000,18000
2,2,3,1,2004,250000,31000
2,2,3,1,2004,246000,31750
2,2,3,1,2004,180000,32000
2,2,3,1,2005,334000,25000
2,2,3,1,2005,226000,27500
2,2,3,1,2008,275000,29000
2,3,3,1,2013,86200,71000
2,4,3,2,2013,47000,134000
2,4,3,2,2013,32500,133500
2,4,3,2,2013,88000,125000
2,4,3,2,2013,68750,118500
2,3,3,1,2014,135000,58500
2,3,3,1,2014,111000,50000
2,3,3,1,2015,75000,81500
2,4,3,2,2015,57000,170000
2,4,3,2,2015,93450,139800
2,4,3,2,2015,84500,112750
2,3,3,1,2017,70500,81000
2,3,3,1,2017,45000,78500
3,1,1,1,1988,180000,8000
3,1,1,1,1990,103000,12000
3,1,1,1,1991,300000,11000
3,1,1,1,1992,124000,12500
3,1,1,1,1992,370000,11000
3,1,1,1,1993,230000,10000
3,4,1,1,1997,250000,22500
3,4,1,1,1997,218000,22000
3,2,3,1,2004,160000,25000
3,2,3,1,2005,245000,31500
3,2,3,1,2006,236000,42000
3,2,3,1,2006,233000,36000
3,2,3,1,2007,200000,40000
3,2,3,1,2007,268000,35500
3,2,3,1,2008,210000,41500
3,3,3,1,2009,240000,53000
3,4,3,2,2012,180000,83500
3,3,3,1,2013,134000,87000
3,3,3,1,2014,200000,80000
3,3,3,1,2014,195000,80000
3,3,3,1,2015,104000,100000
3,3,3,1,2015,98000,105000
3,4,3,1,2015,95000,133000
3,4,3,1,2015,72000,160000
3,4,3,1,2015,87000,155000
3,4,3,1,2015,112000,140000
3,3,3,1,2016,100000,102000
3,3,3,1,2016,80000,112000
3,4,2,2,2016,55000,151000
3,4,3,1,2016,70000,160000
3,3,3,1,2017,52000,117000
4,1,1,1,1992,300000,10000
4,1,1,1,1994,300000,14000
4,1,1,1,1994,265000,14500
4,3,1,1,2000,200000,26000
4,2,3,1,2011,160000,65000
4,3,2,2,2011,160000,73000
4,2,3,1,2012,67000,73500
4,2,3,1,2012,170000,63500
4,3,1,1,2013,55000,94000
4,2,3,1,2014,47000,92500
4,2,3,1,2014,140000,72000
4,3,1,1,2014,120000,87500
4,2,1,1,2015,625000,43000
4,3,3,2,2015,76000,120000
4,3,3,2,2016,130000,134000
4,3,2,1,2016,45000,120000
4,3,1,1,2017,31000,114000
5,1,1,1,1993,300000,14000
5,1,1,1,1994,220000,13500
5,1,1,1,2000,200000,14000
5,3,3,2,2009,112000,70000
5,3,3,1,2010,140000,56000
5,3,3,1,2010,250000,47500
5,3,3,1,2010,145000,42000
5,3,3,2,2015,95000,104000
5,3,3,1,2015,58000,105000
6,1,1,1,1990,288000,10000
6,1,1,1,1990,300000,11000
6,1,1,1,1990,330000,15000
6,1,1,1,1991,200000,20000
6,1,1,2,1992,250000,20000
6,1,1,1,1998,280000,25000
6,3,1,1,2004,200000,50000
6,3,2,1,2009,83000,70000
6,3,2,2,2011,80000,90000
6,3,3,1,2012,200000,62000
6,3,1,2,2012,120000,86000
6,3,3,1,2013,92000,85000
6,3,2,1,2014,70000,100000
7,1,1,1,1980,200000,12000
7,1,1,1,1984,70000,12500
7,1,2,1,1990,100000,20000
7,1,3,1,1991,112000,15000
7,2,1,1,1994,300000,25000
7,2,1,1,1996,330000,27000
7,2,1,2,1997,330000,30000
7,2,1,1,1998,265000,27000
7,2,1,1,2001,200000,44000
7,2,1,1,2003,190000,48000
7,3,1,1,2003,238000,50000
7,2,1,1,2004,170000,50000
7,3,2,2,2012,114000,95000
7,3,1,1,2013,77000,72000
7,3,2,2,2013,71000,91000
7,3,1,1,2013,125000,70000
7,3,1,1,2013,135000,70000
7,4,2,2,2013,76000,113000
7,4,3,2,2013,119000,91500
7,4,3,2,2015,105000,150000
7,4,2,2,2015,57000,119000
7,3,1,1,2016,45000,96000
7,4,3,2,2016,65500,148000
7,4,3,2,2016,145000,142000
7,3,1,1,2017,43500,98000
7,4,3,2,2017,99000,157000
7,4,3,2,2017,77000,171500
8,1,2,1,1991,200000,15000
8,1,1,1,1993,250000,13500
8,1,1,1,1997,180000,22000
8,1,1,1,1998,189000,22000
8,1,2,1,1999,145000,19000
8,1,1,2,1999,220000,22500
8,2,1,2,2001,178000,29800
8,2,1,1,2001,235000,24800
8,2,3,1,2004,189000,23900
8,2,3,1,2004,201000,29500
8,2,3,1,2004,255000,27900
8,2,2,1,2005,126500,32000
8,2,2,1,2005,106000,40000
